S.No.,College Name,State,Est.Year,Type,Permitted Seats for Academic Year 2025-26,,,Remark
,,,,,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,5,
,,,,,MDS,Conservative Dentistry & Endodontics,5,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Public Health Dentistry,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
54,"Siddhpur Dental College, Patan",Gujarat,2012-13,Govt.,BDS,N/A,125,
55,"D.A.V. Centenary Dental College, Yamuna nagar",Haryana,1987-88,Private,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,BDS,N/A,50,
,,,,,MDS,Prosthodontics and Crown & Bridge,3,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Periodontology,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Conservative Dentistry & Endodontics,3,
56,"Jan Nayak Ch. Devi Lal Dental College, Sirsa",Haryana,2005-06,Private,BDS,N/A,100,"DCI recommended to reduce BDS seats from 100 to 50 for AY 2025-26, final decision awaited"
,,,,,MDS,Prosthodontics and Crown & Bridge,2,
,,,,,MDS,Periodontology,2,
,,,,,MDS,Conservative Dentistry & Endodontics,2,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,2,
57,"Maharishi Markandeshwar College of Dental Sciences & Research, Mullana",Haryana,2000-01,Private,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,* P.G. seats reduced in the specialities of (i) Oral Medicine & Radiology from 4 to 3 seats and (ii) Oral Pathology & Microbiology from 4 to 3 seats from the academic session 2019-20.
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,6,
,,,,,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Public Health Dentistry,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,6,
,,,,,MDS,Oral and Maxillofacial Surgery,6,
,,,,,MDS,Periodontology,5,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,BDS,N/A,100,
,,,,,MDS,Pediatric and Preventive Dentistry,6,
58,"Manav Rachana Dental College, Faridabad",Haryana,2006-07,Private,MDS,Periodontology,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,5,
,,,,,MDS,Conservative Dentistry & Endodontics,5,
,,,,,BDS,N/A,100,
,,,,,MDS,Prosthodontics and Crown & Bridge,5,
59,"PDM Dental College & Research Institute, Jhajjar",Haryana,2006-07,Private,BDS,N/A,0,Admissions to both UG (BDS) and PG (MDS) courses stopped from Academic Session 2025-26 as per GOI letter No. V.12017/10/2025-DE(Pt.I) dated 25.06.2025
,,,,,MDS,Prosthodontics and Crown & Bridge,0,
,,,,,MDS,Periodontology,0,
,,,,,MDS,Oral and Maxillofacial Surgery,0,
,,,,,MDS,Conservative Dentistry & Endodontics,0,
,,,,,MDS,Pediatric and Preventive Dentistry,0,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,0,
,,,,,MDS,Oral Medicine & Radiology,0,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,0,
60,"Post Graduate Institute of Dental Sciences, Rohtak",Haryana,1980-81,Govt.,BDS,N/A,100,
,,,,,MDS,Prosthodontics and Crown & Bridge,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,MDS,Periodontology,6,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Public Health Dentistry,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,MDS,Oral Medicine & Radiology,3,
61,"Sri Govind Tricentenary Dental College, Hospital & Research Institute",Haryana,2002-03,Private,MDS,Oral Medicine & Radiology,6,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,2,
,,,,,MDS,Public Health Dentistry,2,
,,,,,MDS,Prosthodontics and Crown & Bridge,6,
,,,,,MDS,Periodontology,6,
,,,,,MDS,Oral and Maxillofacial Surgery,6,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,6,
,,,,,MDS,Pediatric and Preventive Dentistry,6,
,,,,,BDS,N/A,100,
62,"Sudha Rustagi College of Dental Sciences & Research,Faridabad",Haryana,2002-03,Private,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Conservative Dentistry & Endodontics,5,
,,,,,MDS,Public Health Dentistry,2,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,5,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,2,
,,,,,MDS,Periodontology,2,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
