SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
7776,MD - Immuno Haematology & Blood Transfusion,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,4
7777,MD - Psychiatry,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7778,MD - Pharmacology,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,2
7779,M.Ch - Urology/Genito-Urinary Surgery,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7780,MD - Radio Diagnosis/Radiology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,5
7781,MD - Geriatrics,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,5
7782,MD - Paediatrics,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,6
7783,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,2
7784,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7785,MD - Psychiatry,Tamil Nadu,"Rajah Muthiah Medical College, Annamalainagar",Annamalai University,Govt.,1985,2
7786,MD - Physiology,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,2
7787,MD - Anaesthesiology,Tamil Nadu,"E.S.I.C. Medical College & Hospital, K.K. Nagar, Chennai earlier known as ESIC Medical College & PGIMSR, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2013,11
7788,MD - Immuno Haematology & Blood Transfusion,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,3
7789,MD - Anaesthesiology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,4
7790,MD - Pathology,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7791,MD - Psychiatry,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,3
7792,M.Ch - Paediatric Surgery,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1959,1
7793,MD/MS - Ophthalmology,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1959,6
7794,DM - Rheumatology/Clinical Immunology & Rheumatology,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,6
7795,MD/MS - Anatomy,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,3
7796,DM - Neonatology,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,4
7797,MD - General Medicine,Tamil Nadu,"E.S.I.C. Medical College & Hospital, K.K. Nagar, Chennai earlier known as ESIC Medical College & PGIMSR, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2013,11
7798,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,4
7799,MS - ENT,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,2
7800,DM - Hepatology,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,4
7801,DM - Endocrinology,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,5
7802,MD - Pathology,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,11
7803,MD/MS - Anatomy,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,2
7804,MD/MS - Anatomy,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,4
7805,MD - Social & Preventive Medicine / Community Medicine,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,9
7806,MD/MS - Ophthalmology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,5
7807,MD - Pathology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,6
7808,MD - Bio-Chemistry,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,2
7809,MS - Orthopaedics,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,11
7810,MS - ENT,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,8
7811,MD - Social & Preventive Medicine / Community Medicine,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7812,MD - Microbiology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,3
7813,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,5
7814,MD - Psychiatry,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,3
7815,"MD - Dermatology , Venereology & Leprosy",Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,5
7816,MS - Obstetrics & Gynaecology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,9
7817,MD - Radio Diagnosis/Radiology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,7
7818,MD - Physiology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,4
7819,MS - General Surgery,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,24
7820,MD - Pharmacology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,4
7821,MD - Anaesthesiology,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,15
7822,MD - Bio-Chemistry,Tamil Nadu,"Kilpauk Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1960,2
7823,MD - Pharmacology,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7824,MD - Pharmacology,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,4
7825,MD - Bio-Chemistry,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,2
