SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
4356,MD - Pharmacology,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,1
4357,MS - Orthopaedics,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,4
4358,MS - Otorhinolaryngology,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,3
4359,MS - Orthopaedics,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,10
4360,MD - Paediatrics,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,12
4361,MD - Radiotherapy/ Radiation Oncology,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,4
4362,MS - Orthopaedics,Madhya Pradesh,"Government Medical College, Shivpuri, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,2
4363,MD - Radiotherapy/ Radiation Oncology,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,4
4364,MD/MS - Anatomy,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,5
4365,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,4
4366,MD - Paediatrics,Madhya Pradesh,"Gajra Raja Medical College, Gwalior","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1946,15
4367,M.B.B.S.,Madhya Pradesh,"School of Medical Sciences, Sri Satya Sai University of Technology and Medical Sciences","Madhya Pradesh Medical Science University, Jabalpur",Society,,100
4368,M.B.B.S.,Madhya Pradesh,"Government Medical College, Seoni",Madhya Pradesh Medical Science University,Govt.,2024,100
4369,M.B.B.S.,Madhya Pradesh,Virendra Kumar Sakhlecha Government Medical College,Madhya Pradesh Medical Science University,Govt.,2024,100
4370,M.B.B.S.,Madhya Pradesh,Sundarlal Patwa Govt. Medical College,Madhya Pradesh Medical Science University,Govt.,2024,100
4371,MD - Microbiology,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,4
4372,MD - Psychiatry,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4373,MD - Paediatrics,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4374,M.B.B.S.,Madhya Pradesh,"Ram Krishna College Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Trust,2023,150
4375,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4376,MS - Orthopaedics,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4377,DM - Cardiology,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,3
4378,MD/MS - Ophthalmology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,5
4379,DM - Medical Gastroenterology,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4380,MD - Paediatrics,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,6
4381,MD - Microbiology,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4382,MD - Pathology,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,7
4383,MD - Forensic Medicine,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,2
4384,MD - Physiology,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4385,M.Ch - Neuro Surgery,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,2
4386,MD- Biochemistry,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4387,MD - Pathology,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4388,MD - Microbiology,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4389,MD - Paediatrics,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4390,M.Ch - Cardio Thoracic and Vascular Surgery,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,3
4391,MD - Community Medicine,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,7
4392,MD - Forensic Medicine,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4393,MS - ENT,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,2
4394,MS - ENT,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4395,MS - General Surgery,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,6
4396,M.Ch Cardiothoracic & Thoracic Surgery,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4397,MS - Orthopaedics,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,2
4398,MD - Community Medicine,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,6
4399,MS - Ophthalmology,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,2
4400,M.Ch - Paediatric Surgery,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,3
4401,MS - General Surgery,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,9
4402,MS - Ophthalmology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4403,MD - General Medicine,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4404,MD/MS - Anatomy,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4405,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,6
4406,MD - Psychiatry,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,2
4407,M.Ch - Urology,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,2
4408,MS - Ophthalmology,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,2
4409,M. Ch - Pediatrics Surgery,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,2
4410,DM - Pulmonary Medicine,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,6
4411,MD - Emergency Medicine,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,5
4412,MD - Microbiology,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4413,MD - General Medicine,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,9
4414,MD - Paediatrics,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4415,MD - Psychiatry,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4416,M.Ch - Urology,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4417,MD - Bio-Chemistry,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4418,M.Ch - Cardio Thoracic and Vascular Surgery,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4419,MD - Pharmacology,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4420,DM - Cardiology,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,3
4421,MD - Pathology,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4422,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4423,MD - Microbiology,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,2
4424,MD - Radio Diagnosis,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,6
4425,MD - Psychiatry,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,3
4426,DM - Neurology,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,3
4427,MD - General Medicine,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,19
4428,MS - General Surgery,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,20
4429,MD - Anaesthesiology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,4
4430,MS - General Surgery,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,5
4431,DM - Cardiology,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,2
4432,MD - Emergency Medicine,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,5
4433,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4434,M.B.B.S.,Madhya Pradesh,"Government Medical College, Satna","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2023,150
4435,MD - Community Medicine,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,2
4436,MS - General Surgery,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,6
4437,MD - General Medicine,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,9
4438,MD - Pathology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,4
4439,MD - Pathology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,2
4440,MD - Emergency Medicine,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,3
4441,DM - Endocrinology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4442,MD - Psychiatry,Madhya Pradesh,"Gwalior Mansik Arogyashala, Madhya Pradesh","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2022,4
4443,MD - Emergency Medicine,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,3
4444,MD - Physiology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,5
4445,MS - Otorhinolaryngology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,3
4446,MD - Microbiology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,3
4447,MD - Community Medicine,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,7
4448,MD - Bio-Chemistry,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,2
4449,MD - Paediatrics,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,3
4450,MD - Anatomy,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,5
4451,MD - Pharmacology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,2
4452,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,3
4453,MD - Anaesthesiology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,9
4454,MS - General Surgery,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,10
4455,MD - Radio Diagnosis,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,2
4456,MS - Ophthalmology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,4
4457,MD - Forensic Medicine,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,3
4458,MS - Obstetrics and Gynaecology,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,2
4459,MD - Emergency Medicine,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,1
4460,DM - Cardiology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,3
4461,MS - Orthopaedics,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,5
4462,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,3
4463,MD - General Medicine,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,8
4464,MD - Emergency Medicine,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,3
4465,MD - Pharmacology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4466,MD - Microbiology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4467,MD - Physiology,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,4
4468,MD - Paediatrics,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,6
4469,M.B.B.S.,Madhya Pradesh,"LNCT Medical College & Sewakunj Hospital, Indore","Madhya Pradesh Medical Science University, Jabalpur",Society,2021,150
4470,MS - Orthopaedics,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,3
4471,MS - ENT,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,3
4472,MD - Community Medicine,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,3
4473,DM - Endocrinology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4474,MD - General Medicine,Madhya Pradesh,"Gajra Raja Medical College, Gwalior","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1946,20
4475,MD - Pharmacology,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,7
4476,M.Ch - Paediatric Surgery,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4477,M.B.B.S.,Madhya Pradesh,"Sukh Sagar Medical College & Hospital, Jabalpur","Madhya Pradesh Medical Science University, Jabalpur",Trust,2021,150
4478,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,4
4479,MD/MS - Ophthalmology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,3
4480,MD - Forensic Medicine/Forensic Medicine & Toxicology,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4481,MS - General Surgery,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,10
4482,MS - Orthopaedics,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,7
4483,MD - Pathology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,8
4484,MD - Anaesthesiology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,8
4485,MD - Radio Diagnosis/Radiology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,4
4486,MD - General Medicine,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,8
4487,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,5
4488,MD - Psychiatry,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,3
4489,M.B.B.S.,Madhya Pradesh,"Mahaveer Institute of Medical Sciences & Research, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Society,2020,150
4490,MD- Anaesthesia,Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,,4
4491,M.Ch - Neuro Surgery,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,2
4492,MS - Orthopaedics,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,5
4493,MD - Bio-Chemistry,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,10
4494,MD - Paediatrics,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,4
4495,MD - Anaesthesiology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,7
4496,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4497,M.Ch - Paediatric Surgery,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,2
4498,MD - Immuno Haematology & Blood Transfusion,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,5
4499,MS - ENT,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,3
4500,MD - Microbiology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4501,MD - Bio-Chemistry,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,3
4502,MD - Forensic Medicine/Forensic Medicine & Toxicology,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,3
4503,MD - Microbiology,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,5
4504,MD - Bio-Chemistry,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4505,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,3
4506,MS - Orthopaedics,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,6
4507,MD - Psychiatry,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,3
4508,MS - ENT,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,5
4509,MD - General Medicine,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,8
4510,MD - Radio Diagnosis/Radiology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,4
4511,MD/MS - Ophthalmology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,5
4512,MD - Bio-Chemistry,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4513,MD - Radiotherapy/ Radiation Oncology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,2
4514,MD - Paediatrics,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,11
4515,MS - ENT,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,5
4516,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,3
4517,MD - Anaesthesiology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,13
4518,MS - General Surgery,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,10
4519,M.Ch - Neuro Surgery,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,8
4520,M.B.B.S.,Madhya Pradesh,"Government Medical College, Chhindwara, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
4521,M.B.B.S.,Madhya Pradesh,"Government Medical College, Shahdol, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
4522,M.B.B.S.,Madhya Pradesh,"Government Medical College, Shivpuri, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
4523,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,3
4524,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,5
4525,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,4
4526,MD/MS - Anatomy,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4527,MD - Pharmacology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4528,MD - Psychiatry,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,3
4529,MD/MS - Ophthalmology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,6
4530,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,5
4531,MD - Microbiology,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,7
4532,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,4
4533,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,5
4534,MD - Paediatrics,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,12
4535,MS - ENT,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,6
4536,MD - Physiology,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,3
4537,M.B.B.S.,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,180
